"ProteinID","C1_1","C1_2","C2_1","C2_2","C3_1","C3_2","C4_1","C4_2","Log2(Int) C1_1","Log2(Int) C1_2","Log2(Int) C2_1","Log2(Int) C2_2","Log2(Int) C3_1","Log2(Int) C3_2","Log2(Int) C4_1","Log2(Int) C4_2","Mean intensity C1","Mean intensity C2","Mean intensity C3","Mean intensity C4","Condition_1_SD","Condition_2_SD","Condition_3_SD","Condition_4_SD","Condition_1_CV","Condition_2_CV","Condition_3_CV","Condition_4_CV","qValue C2","qValue C3","qValue C4","Log2 intensity C1","Log2 intensity C2","Log2 intensity C3","Log2 intensity C4","Z-Score C1","Z-Score C2","Z-Score C3","Z-Score C4","Ratio C2/C1","Ratio C3/C1","Ratio C4/C1","Fold change C2/C1","Fold change C3/C1","Fold change C4/C1","Log2(ratio) C2/C1","Log2(ratio) C3/C1","Log2(ratio) C4/C1"
"P35288",20000,20000,20000,18000,24000,21000,28000,28000,14.29,14.29,14.29,14.14,14.55,14.36,14.77,14.77,20000,19000,22500,28000,0,1410,2120,0,0,7.443,9.428,0,0.71432,0.2038,0.00187,14.288,14.214,14.458,14.773,-0.584,-0.882,0.099,1.368,0.95,1.125,1.4,-1.053,1.125,1.4,-0.074,0.17,0.485
"P61028",160000,150000,150000,150000,220000,2e+05,280000,280000,17.29,17.19,17.19,17.19,17.75,17.61,18.1,18.1,155000,150000,210000,280000,7070,0,14100,0,4.562,0,6.734,0,0.75617,0.00581,9e-05,17.242,17.195,17.68,18.095,-0.736,-0.848,0.301,1.284,0.968,1.355,1.806,-1.033,1.355,1.806,-0.047,0.438,0.853
"A6H6A9",55000,54000,61000,52000,54000,56000,88000,85000,15.75,15.72,15.9,15.67,15.72,15.77,16.43,16.38,54500,56500,55000,86500,707,6360,1410,2120,1.297,11.26,2.571,2.452,0.83955,0.96396,0.00057,15.734,15.786,15.747,16.4,-0.566,-0.405,-0.525,1.496,1.037,1.009,1.587,1.037,1.009,1.587,0.052,0.013,0.666
"Q9JHK4",60000,57000,64000,58000,70000,69000,90000,92000,15.87,15.8,15.97,15.82,16.1,16.07,16.46,16.49,58500,61000,69500,91000,2120,4240,707,1410,3.626,6.955,1.017,1.554,0.69562,0.03148,0.00021,15.836,15.897,16.085,16.474,-0.823,-0.613,0.042,1.395,1.043,1.188,1.556,1.043,1.188,1.556,0.061,0.249,0.638
"P53612",38000,37000,44000,40000,53000,49000,62000,61000,15.21,15.18,15.43,15.29,15.69,15.58,15.92,15.9,37500,42000,51000,61500,707,2830,2830,707,1.886,6.734,5.546,1.15,0.44518,0.00719,2e-04,15.195,15.358,15.638,15.908,-1.05,-0.53,0.361,1.219,1.12,1.36,1.64,1.12,1.36,1.64,0.163,0.444,0.714
"O55230",14000,14000,13000,13000,18000,17000,27000,33000,13.77,13.77,13.67,13.67,14.14,14.05,14.72,15.01,14000,13000,17500,30000,0,0,707,4240,0,0,4.041,14.14,0.68419,0.07098,0.00021,13.773,13.666,14.095,14.873,-0.603,-0.799,-0.012,1.414,0.929,1.25,2.143,-1.076,1.25,2.143,-0.106,0.322,1.1
"P34022",160000,150000,180000,160000,180000,170000,240000,240000,17.29,17.19,17.46,17.29,17.46,17.38,17.87,17.87,155000,170000,175000,240000,7070,14100,7070,0,4.562,8.319,4.041,0,0.57541,0.13843,0.00043,17.242,17.375,17.417,17.873,-0.856,-0.37,-0.218,1.443,1.097,1.129,1.548,1.097,1.129,1.548,0.134,0.175,0.63
"Q8BIV3",67000,66000,72000,64000,96000,90000,140000,140000,16.03,16.01,16.14,15.97,16.55,16.46,17.1,17.1,66500,68000,93000,140000,707,5660,4240,0,1.063,8.319,4.562,0,0.89122,0.00653,6e-05,16.021,16.053,16.505,17.095,-0.792,-0.727,0.172,1.347,1.023,1.398,2.105,1.023,1.398,2.105,0.033,0.483,1.074
"P46061",170000,160000,170000,160000,220000,210000,250000,250000,17.38,17.29,17.38,17.29,17.75,17.68,17.93,17.93,165000,165000,215000,250000,7070,7070,7070,0,4.285,4.285,3.289,0,1,0.00583,0.00017,17.332,17.332,17.714,17.932,-0.826,-0.826,0.46,1.193,1,1.303,1.515,1,1.303,1.515,0,0.382,0.599
"P27671",22000,23000,21000,23000,34000,30000,47000,49000,14.43,14.49,14.36,14.49,15.05,14.87,15.52,15.58,22500,22000,32000,48000,707,1410,2830,1410,3.143,6.428,8.839,2.946,0.90252,0.00989,1e-04,14.458,14.425,14.966,15.551,-0.742,-0.803,0.219,1.325,0.978,1.422,2.133,-1.022,1.422,2.133,-0.032,0.508,1.093
"Q8R3C6",54000,49000,36000,58000,61000,59000,99000,110000,15.72,15.58,15.14,15.82,15.9,15.85,16.6,16.75,51500,47000,60000,104500,3540,15600,1410,7780,6.865,33.1,2.357,7.443,0.77955,0.54648,0.00532,15.652,15.52,15.873,16.673,-0.537,-0.792,-0.11,1.439,0.913,1.165,2.029,-1.095,1.165,2.029,-0.131,0.22,1.021
"Q8CGC6",32000,33000,37000,36000,43000,42000,73000,71000,14.97,15.01,15.18,15.14,15.39,15.36,16.16,16.12,32500,36500,42500,72000,707,707,707,1410,2.176,1.937,1.664,1.964,0.20573,0.00219,3e-05,14.988,15.156,15.375,16.136,-0.84,-0.509,-0.076,1.425,1.123,1.308,2.215,1.123,1.308,2.215,0.167,0.387,1.147
"Q8C5L7",16000,16000,15000,18000,21000,19000,35000,31000,13.97,13.97,13.87,14.14,14.36,14.21,15.1,14.92,16000,16500,20000,33000,0,2120,1410,2830,0,12.86,7.071,8.571,0.93596,0.10096,0.00038,13.966,14.01,14.288,15.01,-0.731,-0.639,-0.064,1.433,1.031,1.25,2.062,1.031,1.25,2.062,0.044,0.322,1.044
"P86049",29000,33000,19000,30000,41000,36000,66000,69000,14.82,15.01,14.21,14.87,15.32,15.14,16.01,16.07,31000,24500,38500,67500,2830,7780,3540,2120,9.124,31.75,9.183,3.143,0.60497,0.38628,0.00365,14.92,14.58,15.233,16.043,-0.438,-0.981,0.062,1.357,0.79,1.242,2.177,-1.266,1.242,2.177,-0.34,0.313,1.122
"P31266",56000,57000,36000,61000,72000,69000,99000,97000,15.77,15.8,15.14,15.9,16.14,16.07,16.6,16.57,56500,48500,70500,98000,707,17700,2120,1410,1.252,36.45,3.009,1.443,0.67899,0.40881,0.01549,15.786,15.566,16.105,16.58,-0.507,-1.007,0.218,1.296,0.858,1.248,1.735,-1.166,1.248,1.735,-0.221,0.32,0.795
"Q9JJT0",81000,80000,80000,78000,86000,83000,120000,120000,16.31,16.29,16.29,16.25,16.39,16.34,16.87,16.87,80500,79000,84500,120000,707,1410,2120,0,0.8784,1.79,2.51,0,0.73688,0.1773,5e-05,16.297,16.27,16.367,16.873,-0.545,-0.641,-0.299,1.484,0.981,1.05,1.491,-1.019,1.05,1.491,-0.028,0.07,0.576
"Q9QYF1",74000,67000,79000,72000,91000,84000,120000,120000,16.18,16.03,16.27,16.14,16.47,16.36,16.87,16.87,70500,75500,87500,120000,4950,4950,4950,0,7.021,6.556,5.657,0,0.63912,0.03683,0.00028,16.105,16.204,16.417,16.873,-0.863,-0.574,0.05,1.387,1.071,1.241,1.702,1.071,1.241,1.702,0.099,0.312,0.767
"Q99KK1",44000,40000,40000,47000,52000,47000,69000,69000,15.43,15.29,15.29,15.52,15.67,15.52,16.07,16.07,42000,43500,49500,69000,2830,4950,3540,0,6.734,11.38,7.142,0,0.87826,0.15256,0.00097,15.358,15.409,15.595,16.074,-0.769,-0.614,-0.043,1.425,1.036,1.179,1.643,1.036,1.179,1.643,0.051,0.238,0.716
"P15307",1e+05,98000,94000,110000,170000,160000,190000,190000,16.61,16.58,16.52,16.75,17.38,17.29,17.54,17.54,99000,102000,165000,190000,1410,11300,7070,0,1.428,11.09,4.285,0,0.87773,0.00338,0.00018,16.595,16.638,17.332,17.536,-0.897,-0.807,0.64,1.065,1.03,1.667,1.919,1.03,1.667,1.919,0.043,0.737,0.94
"Q04863",42000,41000,39000,36000,60000,58000,83000,81000,15.36,15.32,15.25,15.14,15.87,15.82,16.34,16.31,41500,37500,59000,82000,707,2120,1410,1410,1.704,5.657,2.397,1.725,0.38213,0.0025,4e-05,15.341,15.195,15.848,16.323,-0.654,-0.938,0.334,1.258,0.904,1.422,1.976,-1.106,1.422,1.976,-0.146,0.508,0.983
"Q6PAQ4",57000,58000,47000,53000,68000,67000,140000,150000,15.8,15.82,15.52,15.69,16.05,16.03,17.1,17.19,57500,50000,67500,145000,707,4240,707,7070,1.23,8.485,1.048,4.877,0.38666,0.06502,4e-05,15.811,15.61,16.043,17.146,-0.498,-0.792,-0.16,1.449,0.87,1.174,2.522,-1.149,1.174,2.522,-0.201,0.231,1.335
"Q9R1A8",10000,10000,9900,8900,13000,11000,14000,16000,13.29,13.29,13.27,13.12,13.67,13.43,13.77,13.97,10000,9400,12000,15000,0,707,1410,1410,0,7.522,11.79,9.428,0.75184,0.15963,0.00309,13.288,13.198,13.551,13.873,-0.626,-0.921,0.242,1.305,0.94,1.2,1.5,-1.064,1.2,1.5,-0.089,0.263,0.585
"Q8CIK8",18000,18000,17000,17000,29000,29000,40000,41000,14.14,14.14,14.05,14.05,14.82,14.82,15.29,15.32,18000,17000,29000,40500,0,0,0,707,0,0,0,1.746,0.37437,0.00048,3e-05,14.136,14.053,14.824,15.306,-0.746,-0.885,0.411,1.221,0.944,1.611,2.25,-1.059,1.611,2.25,-0.083,0.688,1.17
"Q8BHT7",23000,23000,23000,21000,28000,28000,35000,34000,14.49,14.49,14.49,14.36,14.77,14.77,15.1,15.05,23000,22000,28000,34500,0,1410,0,707,0,6.428,0,2.05,0.63912,0.01384,0.00017,14.489,14.425,14.773,15.074,-0.677,-0.893,0.278,1.291,0.957,1.217,1.5,-1.045,1.217,1.5,-0.063,0.283,0.585
"Q9JL25",14000,13000,14000,14000,26000,24000,37000,36000,13.77,13.67,13.77,13.77,14.67,14.55,15.18,15.14,13500,14000,25000,36500,707,0,1410,707,5.238,0,5.657,1.937,0.71286,0.00104,3e-05,13.721,13.773,14.61,15.156,-0.857,-0.782,0.426,1.214,1.037,1.852,2.704,1.037,1.852,2.704,0.052,0.889,1.435
"Q99LE1",16000,17000,17000,16000,26000,25000,57000,60000,13.97,14.05,14.05,13.97,14.67,14.61,15.8,15.87,16500,16500,25500,58500,707,707,707,2120,4.285,4.285,2.773,3.626,1,0.002,3e-05,14.01,14.01,14.638,15.836,-0.713,-0.713,0.017,1.408,1,1.545,3.545,1,1.545,3.545,0,0.628,1.826
"Q922Q2",53000,50000,43000,54000,66000,63000,74000,73000,15.69,15.61,15.39,15.72,16.01,15.94,16.18,16.16,51500,48500,64500,73500,2120,7780,2120,707,4.119,16.04,3.289,0.9621,0.74029,0.09677,0.00484,15.652,15.566,15.977,16.165,-0.671,-0.98,0.489,1.162,0.942,1.252,1.427,-1.062,1.252,1.427,-0.086,0.324,0.513
"Q9CQS5",46000,43000,37000,50000,69000,63000,1e+05,96000,15.49,15.39,15.18,15.61,16.07,15.94,16.61,16.55,44500,43500,66000,98000,2120,9190,4240,2830,4.767,21.13,6.428,2.886,0.94442,0.0472,0.00078,15.442,15.409,16.01,16.58,-0.756,-0.815,0.271,1.3,0.978,1.483,2.202,-1.022,1.483,2.202,-0.032,0.569,1.139
"Q9DBU3",59000,59000,68000,64000,74000,69000,1e+05,110000,15.85,15.85,16.05,15.97,16.18,16.07,16.61,16.75,59000,66000,71500,105000,0,2830,3540,7070,0,4.285,4.945,6.734,0.4599,0.03375,0.00013,15.848,16.01,16.126,16.68,-0.88,-0.432,-0.112,1.424,1.119,1.212,1.78,1.119,1.212,1.78,0.162,0.277,0.832
"Q9WTV7",20000,20000,20000,20000,33000,31000,39000,38000,14.29,14.29,14.29,14.29,15.01,14.92,15.25,15.21,20000,20000,32000,38500,0,0,1410,707,0,0,4.419,1.837,1,0.00082,3e-05,14.288,14.288,14.966,15.233,-0.844,-0.844,0.566,1.121,1,1.6,1.925,1,1.6,1.925,0,0.678,0.945
"Q3UIW5",4000,3700,3500,3000,4800,4000,6800,6700,11.97,11.85,11.77,11.55,12.23,11.97,12.73,12.71,3850,3250,4400,6750,212,354,566,70.7,5.51,10.88,12.86,1.048,0.52804,0.31555,0.00111,11.911,11.666,12.103,12.721,-0.421,-0.963,0.007,1.377,0.844,1.143,1.753,-1.185,1.143,1.753,-0.245,0.193,0.81
"Q9QYK7",13000,12000,13000,12000,22000,20000,31000,31000,13.67,13.55,13.67,13.55,14.43,14.29,14.92,14.92,12500,12500,21000,31000,707,707,1410,0,5.657,5.657,6.734,0,1,0.00246,5e-05,13.61,13.61,14.358,14.92,-0.808,-0.808,0.367,1.249,1,1.68,2.48,1,1.68,2.48,0,0.748,1.31
"Q9D0C1",8400,7900,8400,8700,14000,12000,14000,14000,13.04,12.95,13.04,13.09,13.77,13.55,13.77,13.77,8150,8550,13000,14000,354,212,1410,0,4.338,2.481,10.88,0,0.73612,0.00442,0.00033,12.993,13.062,13.666,13.773,-0.945,-0.773,0.726,0.991,1.049,1.595,1.718,1.049,1.595,1.718,0.069,0.674,0.781
"Q91YL2",17000,16000,19000,16000,20000,19000,31000,30000,14.05,13.97,14.21,13.97,14.29,14.21,14.92,14.87,16500,17500,19500,30500,707,2120,707,707,4.285,12.12,3.626,2.318,0.72989,0.11926,0.00032,14.01,14.095,14.251,14.897,-0.755,-0.543,-0.155,1.453,1.061,1.182,1.848,1.061,1.182,1.848,0.085,0.241,0.886
"Q7TMV1",63000,64000,50000,67000,64000,66000,110000,110000,15.94,15.97,15.61,16.03,15.97,16.01,16.75,16.75,63500,58500,65000,110000,707,12000,1410,0,1.114,20.55,2.176,0,0.70624,0.91281,0.00208,15.954,15.836,15.988,16.747,-0.426,-0.711,-0.345,1.481,0.921,1.024,1.732,-1.086,1.024,1.732,-0.119,0.034,0.792
"Q5SWK7",14000,14000,11000,11000,16000,16000,23000,22000,13.77,13.77,13.43,13.43,13.97,13.97,14.49,14.43,14000,11000,16000,22500,0,0,0,707,0,0,0,3.143,0.02561,0.0111,4e-05,13.773,13.425,13.966,14.458,-0.307,-1.115,0.14,1.282,0.786,1.143,1.607,-1.272,1.143,1.607,-0.347,0.193,0.684
"Q80XJ2",4100,3900,4300,4000,5800,6300,9100,11000,12,11.93,12.07,11.97,12.5,12.62,13.15,13.43,4000,4150,6050,10050,141,212,354,1340,3.536,5.112,5.844,13.37,0.86895,0.01417,0.00014,11.966,12.019,12.563,13.295,-0.8,-0.714,0.165,1.35,1.038,1.512,2.513,1.038,1.512,2.513,0.054,0.596,1.329
"Q9CY62",28000,26000,32000,29000,36000,34000,41000,42000,14.77,14.67,14.97,14.82,15.14,15.05,15.32,15.36,27000,30500,35000,41500,1410,2120,1410,707,5.238,6.955,4.041,1.704,0.43996,0.01498,0.00039,14.721,14.897,15.095,15.341,-1.098,-0.438,0.307,1.229,1.13,1.296,1.537,1.13,1.296,1.537,0.176,0.374,0.62
"Q8BFX1",8700,9900,9900,9400,20000,17000,24000,26000,13.09,13.27,13.27,13.2,14.29,14.05,14.55,14.67,9300,9650,18500,25000,849,354,2120,1410,9.124,3.664,11.47,5.657,0.85985,0.0032,0.00011,13.183,13.236,14.175,14.61,-0.876,-0.8,0.53,1.146,1.038,1.989,2.688,1.038,1.989,2.688,0.054,0.992,1.427
"Q8K2Y0",25000,28000,28000,28000,39000,37000,65000,67000,14.61,14.77,14.77,14.77,15.25,15.18,15.99,16.03,26500,28000,38000,66000,2120,0,1410,1410,8.005,0,3.722,2.143,0.63912,0.00448,4e-05,14.694,14.773,15.214,16.01,-0.794,-0.662,0.068,1.388,1.057,1.434,2.491,1.057,1.434,2.491,0.08,0.52,1.317
"Q9QZR0",24000,22000,22000,24000,33000,32000,37000,41000,14.55,14.43,14.43,14.55,15.01,14.97,15.18,15.32,23000,23000,32500,39000,1410,1410,707,2830,6.149,6.149,2.176,7.252,1,0.00975,0.00032,14.489,14.489,14.988,15.251,-0.831,-0.831,0.484,1.177,1,1.413,1.696,1,1.413,1.696,0,0.499,0.762
"Q9DCN7",9300,9000,8100,8600,11000,9900,13000,12000,13.18,13.14,12.98,13.07,13.43,13.27,13.67,13.55,9150,8350,10450,12500,212,354,778,707,2.318,4.234,7.443,5.657,0.57541,0.12057,0.00161,13.16,13.028,13.351,13.61,-0.504,-1.026,0.254,1.276,0.913,1.142,1.366,-1.095,1.142,1.366,-0.131,0.192,0.45
"Q5ND52",12000,13000,8800,14000,19000,18000,25000,25000,13.55,13.67,13.1,13.77,14.21,14.14,14.61,14.61,12500,11400,18500,25000,707,3680,707,0,5.657,32.25,3.822,0,0.76601,0.12386,0.00477,13.61,13.477,14.175,14.61,-0.683,-0.937,0.396,1.224,0.912,1.48,2,-1.096,1.48,2,-0.133,0.566,1
"Q9D706",87000,84000,79000,80000,92000,90000,140000,140000,16.41,16.36,16.27,16.29,16.49,16.46,17.1,17.1,85500,79500,91000,140000,2120,707,1410,0,2.481,0.8894,1.554,0,0.32972,0.09745,3e-05,16.384,16.279,16.474,17.095,-0.474,-0.76,-0.229,1.464,0.93,1.064,1.637,-1.075,1.064,1.637,-0.105,0.089,0.711
"Q9JJ80",8400,8300,7900,10000,13000,12000,40000,39000,13.04,13.02,12.95,13.29,13.67,13.55,15.29,15.25,8350,8950,12500,39500,70.7,1480,707,707,0.8468,16.59,5.657,1.79,0.76966,0.02111,4e-05,13.028,13.128,13.61,15.27,-0.704,-0.607,-0.143,1.454,1.072,1.497,4.731,1.072,1.497,4.731,0.1,0.582,2.242
"P47968",86000,86000,96000,83000,110000,110000,140000,140000,16.39,16.39,16.55,16.34,16.75,16.75,17.1,17.1,86000,89500,110000,140000,0,9190,0,0,0,10.27,0,0,0.77357,0.02043,3e-04,16.392,16.45,16.747,17.095,-0.864,-0.686,0.236,1.314,1.041,1.279,1.628,1.041,1.279,1.628,0.058,0.355,0.703
"P47963",110000,99000,89000,120000,190000,170000,390000,4e+05,16.75,16.6,16.44,16.87,17.54,17.38,18.57,18.61,104500,104500,180000,395000,7780,21900,14100,7070,7.443,20.98,7.857,1.79,1,0.02027,0.00015,16.673,16.673,17.458,18.591,-0.745,-0.745,0.12,1.37,1,1.722,3.78,1,1.722,3.78,0,0.784,1.918
"Q9CR57",28000,34000,28000,35000,64000,56000,260000,190000,14.77,15.05,14.77,15.1,15.97,15.77,17.99,17.54,31000,31500,60000,225000,4240,4950,5660,49500,13.69,15.71,9.428,22,1,0.02618,1e-04,14.92,14.943,15.873,17.78,-0.714,-0.697,-0.005,1.416,1.016,1.935,7.258,1.016,1.935,7.258,0.023,0.952,2.86
"Q9CPR4",84000,80000,75000,110000,150000,140000,340000,340000,16.36,16.29,16.19,16.75,17.19,17.1,18.38,18.38,82000,92500,145000,340000,2830,24700,7070,0,3.449,26.76,4.877,0,0.75105,0.02722,0.00019,16.323,16.497,17.146,18.375,-0.819,-0.633,0.065,1.387,1.128,1.768,4.146,1.128,1.768,4.146,0.174,0.822,2.052
"P35980",1e+05,110000,54000,110000,140000,130000,280000,270000,16.61,16.75,15.72,16.75,17.1,16.99,18.1,18.04,105000,82000,135000,275000,7070,39600,7070,7070,6.734,48.29,5.238,2.571,0.63912,0.49685,0.00653,16.68,16.323,17.043,18.069,-0.463,-0.937,0.018,1.381,0.781,1.286,2.619,-1.28,1.286,2.619,-0.357,0.363,1.389
"P84099",61000,62000,52000,66000,95000,85000,220000,210000,15.9,15.92,15.67,16.01,16.54,16.38,17.75,17.68,61500,59000,90000,215000,707,9900,7070,7070,1.15,16.78,7.857,3.289,0.84525,0.03036,9e-05,15.908,15.848,16.458,17.714,-0.663,-0.732,-0.028,1.423,0.959,1.463,3.496,-1.043,1.463,3.496,-0.06,0.549,1.806
"O09167",130000,120000,110000,170000,190000,170000,390000,410000,16.99,16.87,16.75,17.38,17.54,17.38,18.57,18.65,125000,140000,180000,4e+05,7070,42400,14100,14100,5.657,30.3,7.857,3.536,0.8297,0.13634,0.00065,16.932,17.095,17.458,18.61,-0.782,-0.566,-0.087,1.435,1.12,1.44,3.2,1.12,1.44,3.2,0.163,0.526,1.678
"Q9CQM8",130000,120000,110000,170000,190000,170000,360000,390000,16.99,16.87,16.75,17.38,17.54,17.38,18.46,18.57,125000,140000,180000,375000,7070,42400,14100,21200,5.657,30.3,7.857,5.657,0.83217,0.13931,0.00084,16.932,17.095,17.458,18.517,-0.798,-0.569,-0.06,1.427,1.12,1.44,3,1.12,1.44,3,0.163,0.526,1.585
"P67984",1e+05,90000,76000,130000,160000,140000,290000,3e+05,16.61,16.46,16.21,16.99,17.29,17.1,18.15,18.19,95000,103000,150000,295000,7070,38200,14100,7070,7.443,37.07,9.428,2.397,0.97056,0.13001,0.00153,16.536,16.652,17.195,18.17,-0.808,-0.652,0.076,1.384,1.084,1.579,3.105,1.084,1.579,3.105,0.116,0.659,1.635
"Q9D7S7",15000,14000,13000,20000,19000,18000,34000,34000,13.87,13.77,13.67,14.29,14.21,14.14,15.05,15.05,14500,16500,18500,34000,707,4950,707,0,4.877,30,3.822,0,0.77357,0.27573,0.00175,13.824,14.01,14.175,15.053,-0.812,-0.469,-0.166,1.447,1.138,1.276,2.345,1.138,1.276,2.345,0.187,0.352,1.23
"P62830",110000,110000,92000,180000,170000,150000,350000,340000,16.75,16.75,16.49,17.46,17.38,17.19,18.42,18.38,110000,136000,160000,345000,0,62200,14100,7070,0,45.75,8.839,2.05,0.79115,0.28239,0.00296,16.747,17.053,17.288,18.396,-0.869,-0.442,-0.116,1.427,1.236,1.455,3.136,1.236,1.455,3.136,0.306,0.541,1.649
"P62751",110000,1e+05,79000,92000,180000,160000,370000,380000,16.75,16.61,16.27,16.49,17.46,17.29,18.5,18.54,105000,85500,170000,375000,7070,9190,14100,7070,6.734,10.75,8.319,1.886,0.39718,0.00792,5e-05,16.68,16.384,17.375,18.517,-0.59,-0.902,0.144,1.348,0.814,1.619,3.571,-1.229,1.619,3.571,-0.297,0.695,1.836
"Q8BP67",69000,61000,60000,75000,120000,110000,230000,220000,16.07,15.9,15.87,16.19,16.87,16.75,17.81,17.75,65000,67500,115000,225000,5660,10600,7070,7070,8.703,15.71,6.149,3.143,0.92062,0.00924,1e-04,15.988,16.043,16.811,17.78,-0.796,-0.731,0.186,1.341,1.038,1.769,3.462,1.038,1.769,3.462,0.054,0.823,1.792
"P61255",71000,70000,70000,110000,130000,120000,3e+05,310000,16.12,16.1,16.1,16.75,16.99,16.87,18.19,18.24,70500,90000,125000,305000,707,28300,7070,7070,1.003,31.43,5.657,2.318,0.63122,0.04304,3e-04,16.105,16.458,16.932,18.218,-0.89,-0.509,0.004,1.396,1.277,1.773,4.326,1.277,1.773,4.326,0.353,0.826,2.113
"P61358",1e+05,98000,94000,120000,170000,160000,350000,340000,16.61,16.58,16.52,16.87,17.38,17.29,18.42,18.38,99000,107000,165000,345000,1410,18400,7070,7070,1.428,17.18,4.285,2.05,0.7366,0.01058,8e-05,16.595,16.707,17.332,18.396,-0.803,-0.667,0.09,1.379,1.081,1.667,3.485,1.081,1.667,3.485,0.112,0.737,1.801
"P14115",62000,58000,59000,72000,110000,95000,220000,240000,15.92,15.82,15.85,16.14,16.75,16.54,17.75,17.87,60000,65500,102500,230000,2830,9190,10600,14100,4.714,14.03,10.35,6.149,0.70947,0.01105,7e-05,15.873,15.999,16.645,17.811,-0.8,-0.657,0.071,1.386,1.092,1.708,3.833,1.092,1.708,3.833,0.127,0.772,1.938
"P41105",82000,72000,75000,120000,140000,120000,320000,310000,16.32,16.14,16.19,16.87,17.1,16.87,18.29,18.24,77000,97500,130000,315000,7070,31800,14100,7070,9.183,32.64,10.88,2.245,0.63912,0.07504,0.00048,16.233,16.573,16.988,18.265,-0.88,-0.497,-0.03,1.406,1.266,1.688,4.091,1.266,1.688,4.091,0.34,0.755,2.032
"P27659",130000,120000,110000,140000,2e+05,190000,4e+05,390000,16.99,16.87,16.75,17.1,17.61,17.54,18.61,18.57,125000,125000,195000,395000,7070,21200,7070,7070,5.657,16.97,3.626,1.79,1,0.01756,1e-04,16.932,16.932,17.573,18.591,-0.734,-0.734,0.084,1.384,1,1.56,3.16,1,1.56,3.16,0,0.642,1.66
"P62889",110000,1e+05,92000,140000,160000,150000,260000,260000,16.75,16.61,16.49,17.1,17.29,17.19,17.99,17.99,105000,116000,155000,260000,7070,33900,7070,0,6.734,29.26,4.562,0,0.84369,0.10436,0.00135,16.68,16.824,17.242,17.988,-0.858,-0.613,0.1,1.371,1.105,1.476,2.476,1.105,1.476,2.476,0.144,0.562,1.308
"P62900",85000,73000,82000,110000,150000,140000,290000,290000,16.38,16.16,16.32,16.75,17.19,17.1,18.15,18.15,79000,96000,145000,290000,8490,19800,7070,0,10.74,20.62,4.877,0,0.58908,0.01431,0.00016,16.27,16.551,17.146,18.146,-0.914,-0.575,0.142,1.347,1.215,1.835,3.671,1.215,1.835,3.671,0.281,0.876,1.876
"P62911",90000,82000,84000,83000,130000,130000,230000,240000,16.46,16.32,16.36,16.34,16.99,16.99,17.81,17.87,86000,83500,130000,235000,5660,707,0,7070,6.578,0.8468,0,3.009,0.76837,0.00209,3e-05,16.392,16.349,16.988,17.842,-0.719,-0.78,0.137,1.362,0.971,1.512,2.733,-1.03,1.512,2.733,-0.042,0.596,1.45
"Q9D1R9",91000,84000,79000,130000,150000,130000,390000,320000,16.47,16.36,16.27,16.99,17.19,16.99,18.57,18.29,87500,104500,140000,355000,4950,36100,14100,49500,5.657,34.51,10.1,13.94,0.74756,0.12093,0.00069,16.417,16.673,17.095,18.437,-0.822,-0.537,-0.067,1.426,1.194,1.6,4.057,1.194,1.6,4.057,0.256,0.678,2.02
"Q6ZWV7",65000,66000,53000,62000,140000,110000,360000,320000,15.99,16.01,15.69,15.92,17.1,16.75,18.46,18.29,65500,57500,125000,340000,707,6360,21200,28300,1.08,11.07,16.97,8.319,0.63912,0.00967,6e-05,15.999,15.811,16.932,18.375,-0.666,-0.826,0.13,1.363,0.878,1.908,5.191,-1.139,1.908,5.191,-0.188,0.932,2.376
"O55142",130000,110000,110000,220000,180000,170000,360000,360000,16.99,16.75,16.75,17.75,17.46,17.38,18.46,18.46,120000,165000,175000,360000,14100,77800,7070,0,11.79,47.14,4.041,0,0.6667,0.29409,0.00393,16.873,17.332,17.417,18.458,-0.967,-0.28,-0.154,1.401,1.375,1.458,3,1.375,1.458,3,0.459,0.544,1.585
"P47964",42000,45000,45000,50000,64000,56000,110000,1e+05,15.36,15.46,15.46,15.61,15.97,15.77,16.75,16.61,43500,47500,60000,105000,2120,3540,5660,7070,4.877,7.443,9.428,6.734,0.63912,0.02424,0.00012,15.409,15.536,15.873,16.68,-0.814,-0.592,-0.003,1.409,1.092,1.379,2.414,1.092,1.379,2.414,0.127,0.464,1.271
"Q6ZWZ4",79000,81000,77000,90000,110000,1e+05,2e+05,190000,16.27,16.31,16.23,16.46,16.75,16.61,17.61,17.54,80000,83500,105000,195000,1410,9190,7070,7070,1.768,11.01,6.734,3.626,0.82423,0.03203,9e-05,16.288,16.349,16.68,17.573,-0.734,-0.63,-0.072,1.435,1.044,1.312,2.438,1.044,1.312,2.438,0.062,0.392,1.286
"P83882",74000,72000,64000,76000,140000,130000,230000,270000,16.18,16.14,15.97,16.21,17.1,16.99,17.81,18.04,73000,70000,135000,250000,1410,8490,7070,28300,1.937,12.12,5.238,11.31,0.84369,0.00561,8e-05,16.156,16.095,17.043,17.932,-0.751,-0.821,0.273,1.299,0.959,1.849,3.425,-1.043,1.849,3.425,-0.06,0.887,1.776
